contrast,left,right,observed_difference,ci_low,ci_high,n_anchors,n_resamples,analysis_seed,method
A1-A0,A1,A0,-0.06,-0.16000000000000003,0.040000000000000036,100,10000,20260822,anchor_level_paired_bootstrap_percentile
A2-A0,A2,A0,0.17000000000000004,0.07000000000000006,0.26999999999999996,100,10000,20260822,anchor_level_paired_bootstrap_percentile
A3-A0,A3,A0,-0.010000000000000009,-0.10999999999999999,0.08999999999999997,100,10000,20260822,anchor_level_paired_bootstrap_percentile
A2-A1,A2,A1,0.23000000000000004,0.13,0.33,100,10000,20260822,anchor_level_paired_bootstrap_percentile
A3-A1,A3,A1,0.04999999999999999,-0.04999999999999999,0.15000000000000002,100,10000,20260822,anchor_level_paired_bootstrap_percentile
A3-A2,A3,A2,-0.18000000000000005,-0.29,-0.07999999999999996,100,10000,20260822,anchor_level_paired_bootstrap_percentile
