contrast,left,right,observed_difference,ci_low,ci_high,n_anchors,n_resamples,analysis_seed,method
A1-A0,A1,A0,-0.07,-0.16999999999999998,0.020000000000000018,100,10000,20260822,anchor_level_paired_bootstrap_percentile
A2-A0,A2,A0,0.03999999999999998,-0.07,0.15000000000000002,100,10000,20260822,anchor_level_paired_bootstrap_percentile
A3-A0,A3,A0,-0.020000000000000018,-0.12,0.08000000000000002,100,10000,20260822,anchor_level_paired_bootstrap_percentile
A2-A1,A2,A1,0.10999999999999999,-0.010000000000000009,0.23000000000000004,100,10000,20260822,anchor_level_paired_bootstrap_percentile
A3-A1,A3,A1,0.04999999999999999,-0.04999999999999999,0.15000000000000002,100,10000,20260822,anchor_level_paired_bootstrap_percentile
A3-A2,A3,A2,-0.06,-0.17999999999999994,0.050000000000000044,100,10000,20260822,anchor_level_paired_bootstrap_percentile
