attacker,assigned_eligible_anchors,anchors_with_ge1_valid_candidate,anchors_with_d1_pass,anchors_without_d1_pass,anchors_reaching_d2s,d2s_review,d2s_clear,exhausted_action_spaces,invalid_proposal_count,api_or_runner_exceptions,query_budget_violations,d1_asr_at_5,e2e_bypass_at_10pct,conditional_d2_interception,mean_first_success_query,rq1_denominator,rq2_denominator,d1_asr_at_5_low,d1_asr_at_5_high,e2e_low,e2e_high
A0,100,100,48,52,48,3,45,22,0,0,0,0.48,0.45,0.0625,1.6875,100,100,0.38464384320080547,0.5768359490982345,0.3561437510640346,0.5475557296835656
A1,100,78,42,58,42,4,38,22,0,0,0,0.42,0.38,0.09523809523809523,1.8095238095238095,100,100,0.327982249185113,0.5179369200110473,0.2909744920013438,0.47790426179289663
A2,100,100,65,35,65,16,49,3,0,0,0,0.65,0.49,0.24615384615384617,1.4461538461538461,100,100,0.5525426042919797,0.7363589534652197,0.3942183009238615,0.5865215952256586
A3,100,100,47,53,47,4,43,4,0,0,0,0.47,0.43,0.0851063829787234,2.234042553191489,100,100,0.3751065198210374,0.5671131686275227,0.3373313900052838,0.5278478830413564
